Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-67-3773-01A-01D-0944-01	1	3301765	6208050	1996	0.0395
TCGA-67-3773-01A-01D-0944-01	1	6212753	6221317	6	-1.0104
TCGA-67-3773-01A-01D-0944-01	1	6221607	62186114	31072	0.0525
TCGA-67-3773-01A-01D-0944-01	1	62190512	62190838	2	-2.0092
TCGA-67-3773-01A-01D-0944-01	1	62196120	247650984	96730	0.0532
TCGA-67-3773-01A-01D-0944-01	2	480597	19778311	12747	0.0445
TCGA-67-3773-01A-01D-0944-01	2	19778995	19779909	3	-1.4342
TCGA-67-3773-01A-01D-0944-01	2	19779994	205987888	97901	0.0481
TCGA-67-3773-01A-01D-0944-01	2	205991568	210534029	2589	-0.147
TCGA-67-3773-01A-01D-0944-01	2	210534795	215921811	3309	0.0496
TCGA-67-3773-01A-01D-0944-01	2	215930368	216117647	129	-0.1254
TCGA-67-3773-01A-01D-0944-01	2	216118523	217111342	740	0.0591
TCGA-67-3773-01A-01D-0944-01	2	217112091	217112501	2	1.4407
TCGA-67-3773-01A-01D-0944-01	2	217113275	224293408	4573	0.0511
TCGA-67-3773-01A-01D-0944-01	2	224305073	226357442	1320	-0.1531
TCGA-67-3773-01A-01D-0944-01	2	226357697	226672625	190	0.0465
TCGA-67-3773-01A-01D-0944-01	2	226673801	230577113	2286	-0.1677
TCGA-67-3773-01A-01D-0944-01	2	230577178	236128602	3274	0.0314
TCGA-67-3773-01A-01D-0944-01	2	236128696	241426169	3086	-0.1642
TCGA-67-3773-01A-01D-0944-01	2	241430270	241537572	75	0.0125
TCGA-67-3773-01A-01D-0944-01	3	2170634	197812401	107220	0.0539
TCGA-67-3773-01A-01D-0944-01	4	1059384	160939779	89555	0.0532
TCGA-67-3773-01A-01D-0944-01	4	161010744	176039398	8117	-0.6427
TCGA-67-3773-01A-01D-0944-01	4	176042829	176043125	2	-2.5353
TCGA-67-3773-01A-01D-0944-01	4	176044041	181722054	3049	-0.6404
TCGA-67-3773-01A-01D-0944-01	4	181724656	181726886	7	-1.5705
TCGA-67-3773-01A-01D-0944-01	4	181727565	187842528	2779	-0.6442
TCGA-67-3773-01A-01D-0944-01	5	913983	914507	3	-0.0404
TCGA-67-3773-01A-01D-0944-01	5	918244	1287276	50	0.5288
TCGA-67-3773-01A-01D-0944-01	5	1287425	2069417	182	0.1043
TCGA-67-3773-01A-01D-0944-01	5	2070754	3171938	986	0.5488
TCGA-67-3773-01A-01D-0944-01	5	3172001	3458161	260	0.7174
TCGA-67-3773-01A-01D-0944-01	5	3462782	4720472	982	0.5368
TCGA-67-3773-01A-01D-0944-01	5	4720544	4720999	2	-0.6794
TCGA-67-3773-01A-01D-0944-01	5	4723769	5778740	916	0.5231
TCGA-67-3773-01A-01D-0944-01	5	5779117	6345521	491	0.7026
TCGA-67-3773-01A-01D-0944-01	5	6347582	10319304	3058	0.5359
TCGA-67-3773-01A-01D-0944-01	5	10319479	11730369	894	0.7479
TCGA-67-3773-01A-01D-0944-01	5	11730702	26273621	7457	0.5221
TCGA-67-3773-01A-01D-0944-01	5	26280542	28092664	984	0.8756
