Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-55-8615-01A-11D-2389-01	1	3301765	105967238	59211	-0.2383
TCGA-55-8615-01A-11D-2389-01	1	105970103	106577165	411	0.197
TCGA-55-8615-01A-11D-2389-01	1	106599056	118305094	7262	-0.2409
TCGA-55-8615-01A-11D-2389-01	1	118306998	119984738	999	0.1812
TCGA-55-8615-01A-11D-2389-01	1	119984772	186271013	22601	0.457
TCGA-55-8615-01A-11D-2389-01	1	186271730	199861983	7860	0.4835
TCGA-55-8615-01A-11D-2389-01	1	199863445	204135676	2719	0.4508
TCGA-55-8615-01A-11D-2389-01	1	204135909	205822166	1239	0.605
TCGA-55-8615-01A-11D-2389-01	1	205823708	247650984	26970	0.4593
TCGA-55-8615-01A-11D-2389-01	2	480597	2810691	846	0.3377
TCGA-55-8615-01A-11D-2389-01	2	2812405	4956449	1482	0.0195
TCGA-55-8615-01A-11D-2389-01	2	5026757	5786787	590	0.3523
TCGA-55-8615-01A-11D-2389-01	2	5787758	12461536	4823	0.0202
TCGA-55-8615-01A-11D-2389-01	2	12470279	15235826	1697	0.8998
TCGA-55-8615-01A-11D-2389-01	2	15238257	16886258	1162	0.965
TCGA-55-8615-01A-11D-2389-01	2	16890267	36739206	11378	0.1736
TCGA-55-8615-01A-11D-2389-01	2	36742579	39801220	1461	0.3097
TCGA-55-8615-01A-11D-2389-01	2	39801717	45656749	3663	0.1768
TCGA-55-8615-01A-11D-2389-01	2	45657074	48323071	1811	0.4621
TCGA-55-8615-01A-11D-2389-01	2	48323551	53408326	2730	0.3781
TCGA-55-8615-01A-11D-2389-01	2	53416907	56541212	1624	1.1036
TCGA-55-8615-01A-11D-2389-01	2	56543334	56802379	154	0.3868
TCGA-55-8615-01A-11D-2389-01	2	56807164	59933956	1868	0.0331
TCGA-55-8615-01A-11D-2389-01	2	59934022	66391022	3596	0.1627
TCGA-55-8615-01A-11D-2389-01	2	66397244	66925223	308	0.0116
TCGA-55-8615-01A-11D-2389-01	2	66927524	66933939	5	-0.8697
TCGA-55-8615-01A-11D-2389-01	2	66935309	69768474	1855	0.0305
TCGA-55-8615-01A-11D-2389-01	2	69770715	70429443	374	0.6187
TCGA-55-8615-01A-11D-2389-01	2	70432342	70448449	19	1.0115
TCGA-55-8615-01A-11D-2389-01	2	70450594	71125796	482	-0.0036
TCGA-55-8615-01A-11D-2389-01	2	71126785	71394923	176	0.5479
TCGA-55-8615-01A-11D-2389-01	2	71399111	71680800	176	0.8226
TCGA-55-8615-01A-11D-2389-01	2	71680850	72086673	226	1.1842
TCGA-55-8615-01A-11D-2389-01	2	72089349	73164941	452	0.0335
TCGA-55-8615-01A-11D-2389-01	2	73165828	73856031	257	0.3107
TCGA-55-8615-01A-11D-2389-01	2	73859809	75893478	1213	0.174
TCGA-55-8615-01A-11D-2389-01	2	75893624	78433039	1462	0.0449
TCGA-55-8615-01A-11D-2389-01	2	78441809	79593147	220	-0.4136
TCGA-55-8615-01A-11D-2389-01	2	79597835	83545946	2345	-0.2248
TCGA-55-8615-01A-11D-2389-01	2	83550740	83559198	5	0.0795
TCGA-55-8615-01A-11D-2389-01	2	83561823	83562715	2	1.9932
TCGA-55-8615-01A-11D-2389-01	2	83562992	83655603	49	1.2975
TCGA-55-8615-01A-11D-2389-01	2	83656424	83690145	21	1.9095
TCGA-55-8615-01A-11D-2389-01	2	83691347	84902222	724	0.9478
TCGA-55-8615-01A-11D-2389-01	2	84908356	85306492	225	1.715
TCGA-55-8615-01A-11D-2389-01	2	85308909	86057163	434	-0.0655
TCGA-55-8615-01A-11D-2389-01	2	86285979	88773214	658	0.8375
TCGA-55-8615-01A-11D-2389-01	2	88773440	88777337	3	-0.1103
TCGA-55-8615-01A-11D-2389-01	2	88779971	94682300	48	0.8053
TCGA-55-8615-01A-11D-2389-01	2	94685288	101653891	2994	0.3479
TCGA-55-8615-01A-11D-2389-01	2	101657481	102211036	346	0.773
TCGA-55-8615-01A-11D-2389-01	2	102214507	121239132	10100	-0.2445
TCGA-55-8615-01A-11D-2389-01	2	121240246	121240340	3	-1.7483
TCGA-55-8615-01A-11D-2389-01	2	121240536	125881278	2005	-0.2476
TCGA-55-8615-01A-11D-2389-01	2	125883717	125884009	3	-1.5132
TCGA-55-8615-01A-11D-2389-01	2	125896932	126638060	419	-0.2625
TCGA-55-8615-01A-11D-2389-01	2	126642337	129007570	1392	0.157
TCGA-55-8615-01A-11D-2389-01	2	129008500	132644173	1132	0.0013
TCGA-55-8615-01A-11D-2389-01	2	132644403	132644651	2	-1.6948
TCGA-55-8615-01A-11D-2389-01	2	132647013	234154758	58256	0.015
TCGA-55-8615-01A-11D-2389-01	2	234155569	241537572	4502	0.1476
TCGA-55-8615-01A-11D-2389-01	3	2170634	2198395	23	-0.0674
TCGA-55-8615-01A-11D-2389-01	3	2200757	27656325	14885	-0.2389
TCGA-55-8615-01A-11D-2389-01	3	27656941	27657283	2	-2.0265
TCGA-55-8615-01A-11D-2389-01	3	27659802	59633043	18467	-0.2362
TCGA-55-8615-01A-11D-2389-01	3	59633112	61268214	323	-0.3493
TCGA-55-8615-01A-11D-2389-01	3	61274343	69428124	5956	-0.2393
TCGA-55-8615-01A-11D-2389-01	3	69429596	69429678	2	-2.0746
TCGA-55-8615-01A-11D-2389-01	3	69431887	76600391	4462	-0.2325
TCGA-55-8615-01A-11D-2389-01	3	76603763	83624097	3797	-0.4061
TCGA-55-8615-01A-11D-2389-01	3	83632317	84142087	190	-0.0699
TCGA-55-8615-01A-11D-2389-01	3	84146077	85679035	692	0.0739
TCGA-55-8615-01A-11D-2389-01	3	85679551	190870915	54913	-0.2258
TCGA-55-8615-01A-11D-2389-01	3	190870954	197812401	3058	-0.0055
TCGA-55-8615-01A-11D-2389-01	4	1059384	1227021	91	-0.9512
TCGA-55-8615-01A-11D-2389-01	4	1227778	4359335	1177	-0.4561
TCGA-55-8615-01A-11D-2389-01	4	4360496	10641112	3796	-0.5
TCGA-55-8615-01A-11D-2389-01	4	10642492	14468479	2930	-0.4307
TCGA-55-8615-01A-11D-2389-01	4	14468649	14971964	378	-0.2152
TCGA-55-8615-01A-11D-2389-01	4	14973324	27692228	8337	-0.4404
TCGA-55-8615-01A-11D-2389-01	4	27692307	34866074	4168	-0.2141
TCGA-55-8615-01A-11D-2389-01	4	34866579	34879443	6	-1.0109
TCGA-55-8615-01A-11D-2389-01	4	34879528	44348849	5508	-0.2225
TCGA-55-8615-01A-11D-2389-01	4	44353263	47578985	1598	-0.0548
TCGA-55-8615-01A-11D-2389-01	4	47589483	48066766	268	0.2004
TCGA-55-8615-01A-11D-2389-01	4	48066809	52157210	187	0.0268
TCGA-55-8615-01A-11D-2389-01	4	52161248	52855698	360	0.1458
TCGA-55-8615-01A-11D-2389-01	4	52858856	53391928	305	0.0332
TCGA-55-8615-01A-11D-2389-01	4	53395438	55054038	1389	-0.2325
TCGA-55-8615-01A-11D-2389-01	4	55054051	64899026	5361	-0.017
TCGA-55-8615-01A-11D-2389-01	4	64899711	133380864	37771	0.1289
TCGA-55-8615-01A-11D-2389-01	4	133384263	154398705	11591	0.0837
TCGA-55-8615-01A-11D-2389-01	4	154398902	157072890	1700	0.1113
TCGA-55-8615-01A-11D-2389-01	4	157073742	179127178	11981	-0.1638
TCGA-55-8615-01A-11D-2389-01	4	179127608	187497101	3970	-0.2009
TCGA-55-8615-01A-11D-2389-01	4	187498061	187842528	207	-0.1511
TCGA-55-8615-01A-11D-2389-01	5	913983	11906336	7929	0.5118
TCGA-55-8615-01A-11D-2389-01	5	11907068	20634802	4430	0.5476
TCGA-55-8615-01A-11D-2389-01	5	20634815	25014603	2284	0.516
TCGA-55-8615-01A-11D-2389-01	5	25015113	45383300	11394	0.6277
TCGA-55-8615-01A-11D-2389-01	5	50828231	58547110	4872	-0.2236
TCGA-55-8615-01A-11D-2389-01	5	58558705	59252405	532	0.2
TCGA-55-8615-01A-11D-2389-01	5	59318863	90416621	16567	-0.2196
TCGA-55-8615-01A-11D-2389-01	5	90424697	100232836	4634	-0.5429
TCGA-55-8615-01A-11D-2389-01	5	100233827	129021889	16486	-0.2069
TCGA-55-8615-01A-11D-2389-01	5	129022330	180934240	31600	-0.2292
TCGA-55-8615-01A-11D-2389-01	6	1011760	62808629	34580	0.2653
TCGA-55-8615-01A-11D-2389-01	6	62811699	63083016	139	-0.0757
